SMILES,Energygap
CC(C)(C)OOC(=O)c1ccccc1,186.9757192
NCc1ccc(cc1)C(=O)O,181.8464606
OC(=O)c1ccc2ccccc2c1O,147.5330135
OC(=O)CCCC(=O)c1ccccc1,179.6156661
Oc1ccc2c(=O)ccoc2c1,169.9990907
O=C1CCCC(=C1)Nc1ccccc1,160.9824139
CN(C)CCO,222.4726483
COc1ccc(Br)c(C=O)c1,152.2945518
CCOC(=O)C1CC1,253.5243037
C[C@@H](Cl)C=C,220.5167027
OC(=O)/C=C/c1ccccc1F,155.9566943
COC(C)(C)OC,256.1968645
Brc1ccccc1P(c1ccccc1)c1ccccc1,166.183836
C[N+]1(CCOCC1)[O-],212.3000999
CN(C=O)c1ccccc1,181.840813
Cc1ccncn1,195.9610206
CC(C)CCCO,252.7323873
CO/C(=C/C(=O)OC)/C,196.1881788
C1CCCNCC1,210.2732458
Oc1ccc(F)cc1C=O,159.5171804
CCCC#CCO,230.1439458
CN(C)c1ccc(cc1)C(=O)c1ccc(cc1)N(C)C,145.5231022
Nc1ccccc1Oc1ccccc1,171.8703225
CCOC(=O)CC#N,255.3327846
ClCC(=O)CCl,204.3627386
Nc1ncnc2nc[nH]c12,180.1816792
OC(=O)CCBr,231.8821458
CC[C@]1(O)C(=O)OCc2c1cc1n(Cc3cc4ccccc4nc13)c2=O,131.7298268
Nc1ccc(C=C)cc1,155.8719806
CC(C)CBr,231.6374172
Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,163.3242775
ClCC#C,231.6204745
CCc1ccccc1N,177.4275422
NCC(=O)O,229.7335549
N[C@@H](Cc1ccccc1)C(=O)O,197.5266555
CCC(=O)c1ccccc1O,157.5662549
ClC(=O)Oc1ccccc1,196.7334841
c1ccc(nc1)c1ccccn1,164.8648121
Cc1cccc(=O)[nH]1,163.0607237
Cc1cc(C)c(c(C)c1)C(=O)Cl,175.0266928
CSc1cnccn1,164.0936035
c1ccc(cc1)c1ccccn1,164.4130056
CCOC(=O)CC(=O)C,221.5138145
O=C1Cc2ccccc2CO1,197.0924193
FC(F)(F)c1ccc(Br)cc1,187.0522753
O/N=C/c1ccccc1,169.7029065
Cc1cccc(I)c1,183.2389031
CCOC(=O)c1cnc2ccccc2c1Cl,154.3565463
O[C@@H](C(=O)O)c1ccc(F)cc1,192.8912465
[NH]c1cc(ccc1C(=O)O)C(=O)[O],78.99020541
Brc1ccc2cnccc2c1,158.6963986
OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,166.2007787
CC(=O)O[Si](C)(C)C,249.9769953
C1CCC(=CC1)N1CCOCC1,193.5112254
CCOC(=O)C1CCCCC1,243.8167394
CC1(C)[C@H]2CC[C@](C)(C2)C1=O,206.2440105
OC(=O)c1cnccn1,176.8288987
Fc1ccccc1Br,188.4679356
CCOC(=O)CCc1ccccc1,199.3633744
C/C=C(\C)/C(=O)O,202.9069177
ClCCCCc1ccccc1,198.0638032
C1OCOCO1,272.1173953
ClC(=O)c1ccc(Cl)cc1,169.6828262
CCSc1ccccc1,181.4304222
O=C1C[C@@H]2CC[C@H]1C2,208.8155424
Fc1ccc(Br)cc1,184.4016773
CC(C)c1ccc(C)cc1,192.1677287
CC(=C)CCl,216.9524516
Cc1ccc(SSc2ccc(C)cc2)cc1,146.5848474
ClN1C(=O)CCC1=O,222.2185072
Cc1cc(N)c(cc1C)N(=O)=O,142.2562903
N[C@H]1CC[C@@H](CC1)C[C@H]1CC[C@H](N)CC1,218.6806114
C1CCCCCC1,264.8119355
OC(=O)c1cc(F)cc(F)c1,182.4212589
N#CCCc1ccccc1,200.5499939
BrCCC1CCCCC1,229.8847846
O=Cc1cccc(c1)C#N,177.8774662
CC(C)c1cc(C(C)C)c(Br)c(c1)C(C)C,186.7159305
NC(=O)c1ccc(F)cc1,189.2152988
CC(C)(C)S,209.4367763
OCc1ccccn1,195.4677985
CC(C)(C)c1cccc(n1)C(C)(C)C,193.9542468
Ic1[nH]cnc1I,165.1967643
OC(=O)Cc1ccc(O)cc1,184.6897039
Brc1ccc2[nH]ccc2c1,168.7158348
CCCCC#CC,232.6119387
OC(=O)C/C=C/c1ccccc1,165.9340874
N#Cc1ccc2ccccc2c1,153.4811713
CO[Si](OC)(OC)c1ccccc1,197.2687493
O=Cc1oc2ccccc2c1,152.4194261
C(CP(c1ccccc1)c1ccccc1)CP(c1ccccc1)c1ccccc1,165.2024119
Fc1ccc(cc1)c1ccc(F)cc1,171.0231854
CC(=C)C(=O)OC(C)(C)C,202.0867634
CN(C)c1ccccc1,169.215332
N#C[C@@H](c1ccccc1)c1ccccc1,190.8543523
CCCCC(=O)C(=O)C,170.8763483
ClC1CCCCC1,253.5399914
Brc1ccc2cc[nH]c2c1,165.3693293
Cc1[nH]c2ccccc2c1,169.5755221
